LRLRRRLRRLRLLRRRLRRLLRRRLLRLRRLLRRRLRLRRRLRRLRRLRRLLLLRRRLRRLRRRLRRRLRRRLRLRRRLRLLRRRLLRLRRRLRRRLRLRRLLRLLRRLRLLRRRLLRRLRLLLRLRLRLLRRRLRLRLRRLRRRLRRLRLRRRLRRRLRRRLLLLRLLRRLLRRRLRRLRRLLRRLRRRLLRRLLLRRRLRLRLLRRLRRRLRRLRRRLLRLRRRLRLLRLLRRRLRRLLRLRRRLRRLRRRLRRLRRLRRRLRRLRRRR

AAA = (VHV, XNS)
NBB = (JVX, PBR)
NBK = (DMN, GVT)
NBP = (VFH, KBN)
NBV = (QLS, VCD)
NCC = (FDF, GJD)
NDH = (LRR, VJM)
NDJ = (TCK, CRQ)
NFA = (MGL, RXR)
NFJ = (JLN, TPX)
NHG = (KGN, JSL)
NHH = (KNG, GND)
NHL = (XPK, DVV)
NHM = (CKJ, CKJ)
NJF = (FPN, DTK)
NJQ = (CTJ, NKG)
NJX = (KCS, RXN)
NKC = (RVL, PVJ)
NKD = (HFG, JVD)
NKG = (CVL, FSD)
NLH = (VTL, RDK)
NLX = (SVK, LVM)
NMH = (SDD, NRF)
NMJ = (CQG, LFB)
NMP = (SPD, DRV)
NMX = (SSB, HJM)
NNP = (MCH, HHS)
NPK = (TVF, QJN)
NPT = (RBK, NLH)
NQC = (CLC, QNF)
NRF = (JJJ, CPM)
NRX = (CLC, QNF)
NSB = (BTB, TKQ)
NTR = (FLC, KGK)
NTS = (CKN, PKQ)
NTT = (TVD, HHG)
NVB = (QPT, FKB)
NVH = (JRD, TGX)
NXD = (DCX, PKH)
NXT = (SMG, CVM)
PBM = (DMG, PPJ)
PBP = (DGH, LBJ)
PBR = (FMK, HTM)
PBV = (KGK, FLC)
PCF = (GBN, QKC)
PCN = (HHV, GVF)
PFX = (XND, TXQ)
PGN = (VXJ, DQK)
PGQ = (HRV, FXB)
PHJ = (CKR, CTM)
PJN = (FQD, CMN)
PJV = (GRJ, JTC)
PKC = (VSK, XPM)
PKH = (MSC, BLM)
PKQ = (MCV, LDN)
PMJ = (MSJ, NMP)
PMN = (KDP, XRZ)
PMP = (FRX, XLJ)
PMX = (NNP, BRR)
PNF = (XPG, DPP)
PNP = (XMQ, GNR)
PNT = (NNP, BRR)
PPJ = (LTH, JBV)
PPL = (RTL, JCX)
PPP = (XBM, JCN)
PQB = (RSC, GJG)
PRL = (GHG, CKL)
PRT = (HXQ, JTT)
PSA = (LMN, RGL)
PSJ = (XFG, KMG)
PSN = (NRX, NQC)
PTG = (PVJ, RVL)
PTP = (NMJ, LRV)
PVJ = (HXK, LGG)
PVN = (HKL, XNV)
QBC = (QSK, QSB)
QBP = (VXH, KDF)
QBR = (CXL, XMH)
QBX = (KGN, JSL)
QCD = (FRL, CRL)
QCJ = (PBR, JVX)
QCL = (JDR, DVK)
QDR = (LVM, SVK)
QFG = (SLF, PSN)
QFP = (TDM, BXQ)
QGQ = (XTL, VJC)
QGT = (TTH, JGB)
QHQ = (BXN, CBD)
QHR = (HKQ, GPP)
QHX = (JTQ, XDK)
QJD = (BVR, MMG)
QJN = (PBP, KQQ)
QJP = (DSM, NFJ)
QKC = (NHL, XJR)
QKG = (BDV, TLB)
QKH = (DSJ, KLN)
QKJ = (QCD, DFC)
QKL = (JTC, GRJ)
QKN = (LXF, RBQ)
QLB = (CFC, LBN)
QLS = (CHF, GDV)
QMC = (KBN, VFH)
QMS = (XXP, RSG)
QNF = (NBP, QMC)
QPG = (SKM, XNR)
QPL = (HVX, CFR)
QPT = (PTG, NKC)
QPV = (FGS, CSV)
QQV = (GSC, QHX)
QRM = (FTV, JJG)
QRZ = (KCX, TVC)
QSB = (PMJ, TPH)
QSK = (PMJ, TPH)
QTL = (NHG, QBX)
QXR = (NXD, MKF)
QXS = (MMT, RMF)
RBK = (VTL, RDK)
RBP = (PGQ, XBS)
RBQ = (CBQ, DLB)
RCB = (LBV, PJN)
RCQ = (TNS, MTQ)
RDK = (CTN, QGQ)
RDN = (GSD, XHH)
RDX = (JMX, FMR)
RFB = (NXT, MXM)
RFG = (GHQ, MXC)
RFT = (VVP, GSV)
RGL = (LJM, NTT)
RHG = (GDQ, GGB)
RHK = (KCC, JBD)
RLQ = (MPT, DPT)
RMF = (CRT, DTD)
RPK = (MHH, LDR)
RQN = (TSP, TNB)
RQQ = (DPT, MPT)
RSB = (XDQ, GLR)
RSC = (SRQ, HBX)
RSG = (NBV, LPR)
RSH = (KXB, HHD)
RSV = (JQG, KCL)
RTL = (FBF, NSB)
RTS = (JPX, HBD)
RVL = (HXK, LGG)
RVM = (QPV, TQC)
RXM = (DFV, FVD)
RXN = (MRT, RSV)
RXR = (LNN, GTT)
RXV = (BJS, FDS)
SBB = (TTH, JGB)
SCL = (MBG, LFG)
SDD = (CPM, JJJ)
SDF = (QRM, JHV)
SDG = (RMF, MMT)
SGM = (FDF, GJD)
SGS = (CKL, GHG)
SHB = (CFB, VNV)
SHJ = (NKD, BGP)
SHL = (BFG, DQS)
SJS = (HMF, CRJ)
SJV = (LCR, DFG)
SKM = (BVH, QCL)
SLF = (NQC, NRX)
SLJ = (SCL, GST)
SLZ = (DNT, KVD)
SMG = (KKQ, MSG)
SNS = (DMN, GVT)
SPD = (SRP, SRP)
SPP = (HXF, CBC)
SQD = (VKX, DQR)
SQF = (KCM, KCM)
SQK = (FVD, DFV)
SRJ = (CXL, XMH)
SRP = (DSJ, DSJ)
SRQ = (LHV, NJF)
SSB = (SHB, DSH)
SSH = (VVF, NVB)
SSK = (LTK, TBQ)
SST = (QXR, JSP)
STN = (DJJ, XSQ)
SVK = (FMF, SLJ)
SVN = (FQM, XVJ)
TBJ = (KGX, FGG)
TBQ = (JJC, STN)
TBV = (FFD, RVM)
TCK = (TVR, QQV)
TCN = (TFB, JPV)
TDL = (JCP, CLX)
TDM = (LCF, JTJ)
TDP = (QMS, JNV)
TFB = (KSV, GJJ)
TFV = (VPQ, HVH)
TGF = (VVP, GSV)
TGK = (HGV, DRR)
TGM = (BVC, BVC)
TGX = (CVC, GXD)
THN = (LLT, KHB)
THQ = (QRM, JHV)
TJD = (VXH, KDF)
TJJ = (GNP, TGK)
TJQ = (SPP, MGB)
TJS = (KCM, HJX)
TKQ = (SJS, JRR)
TLB = (HSN, RFB)
TLF = (BVR, MMG)
TLS = (PRT, DBJ)
TLX = (QXS, SDG)
TMD = (HLR, MRQ)
TML = (SGM, NCC)
TNB = (FBH, TML)
TNS = (DHL, PVN)
TPB = (KQC, KDQ)
TPC = (PNP, GVP)
TPH = (MSJ, NMP)
TPN = (VQT, GQD)
TPX = (SQK, RXM)
TQC = (CSV, FGS)
TQV = (XBS, PGQ)
TRC = (NBK, SNS)
TRK = (FGL, BNF)
TSJ = (JGM, JMF)
TSP = (TML, FBH)
TSR = (FMR, JMX)
TTH = (DXX, DBP)
TTM = (CHJ, VXT)
TTQ = (PJV, QKL)
TVC = (VJS, HTX)
TVD = (FJL, CMP)
TVF = (PBP, KQQ)
TVR = (QHX, GSC)
TVS = (XBJ, XSC)
TXB = (RTS, HDQ)
TXQ = (GFF, HPD)
VCD = (CHF, GDV)
VCQ = (XQQ, RPK)
VFH = (XBH, TJQ)
VFR = (KPK, DRB)
VGC = (FGG, KGX)
VGS = (LPJ, TPB)
VHV = (LPM, QHR)
VJC = (JXS, DFJ)
VJM = (LHL, PTP)
VJN = (PKQ, CKN)
VJS = (VCQ, FPR)
VKC = (LFV, MTD)
VKX = (DGX, PPL)
VLM = (LCR, DFG)
VLQ = (RCB, LMP)
VMF = (RTS, HDQ)
VNV = (PCF, DTG)
VPH = (BJS, FDS)
VPQ = (RXV, VPH)
VPT = (RHG, BBB)
VQT = (KQJ, FKK)
VQV = (FVH, RDN)
VRN = (GGC, DRQ)
VSK = (KRD, QFG)
VSN = (TLS, KLK)
VTL = (CTN, QGQ)
VVF = (QPT, FKB)
VVP = (VXK, HPC)
VXH = (TGM, TGM)
VXJ = (GSS, TTQ)
VXK = (VXS, RCQ)
VXS = (MTQ, TNS)
VXT = (CRK, NPK)
XBH = (SPP, MGB)
XBJ = (BPL, HXB)
XBK = (JCP, CLX)
XBM = (XBK, TDL)
XBS = (HRV, FXB)
XCG = (LLR, GKQ)
XCJ = (PBM, MCG)
XDK = (CVS, QBC)
XDL = (PKC, JLX)
XDQ = (NHM, XSH)
XFG = (PNT, PMX)
XGJ = (LPT, TBV)
XHH = (VFR, CHB)
XHR = (JTH, LLK)
XHS = (BVC, LKB)
XHT = (DCL, CMM)
XJJ = (LRJ, PMP)
XJR = (XPK, DVV)
XLH = (XDL, XLV)
XLJ = (THQ, SDF)
XLV = (PKC, JLX)
XMH = (NHH, DLT)
XMQ = (RSB, BRV)
XND = (HPD, GFF)
XNJ = (LTK, TBQ)
XNR = (QCL, BVH)
XNS = (LPM, QHR)
XNV = (SST, BMN)
XPG = (XCJ, BKL)
XPK = (QHQ, MQQ)
XPM = (QFG, KRD)
XPS = (SGS, PRL)
XQG = (LTR, TPN)
XQP = (RHG, BBB)
XQQ = (LDR, MHH)
XRZ = (RXR, MGL)
XSC = (HXB, BPL)
XSF = (TFB, JPV)
XSH = (CKJ, MHM)
XSQ = (CNG, NMX)
XTJ = (XSC, XBJ)
XTL = (JXS, DFJ)
XVG = (NMH, CNT)
XVJ = (LNJ, JXV)
XXP = (NBV, LPR)
ZZZ = (XNS, VHV)
